,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
63522,Spain,"Dry, scratchy and rooty smelling, with balsam wood and earthy berry aromas. Medium-bodied, with gritty tannins, herb and spice flavors, and basic but solid cherry and berry fruit. A touch oaky and hot on the finish.",Coronas,86,13.0,Catalonia,Catalunya,,Michael Schachner,@wineschach,Torres 2008 Coronas Tempranillo (Catalunya),Tempranillo,Torres
42073,US,"Here's a delicious Cabernet for drinking now, although it may gain a note or two with a few years in the cellar. It's dry and full-bodied, with flavors of black currants, cassis, anise, dark chocolate and smoky oak.",Twenty Bench,88,22.0,California,Napa Valley,Napa,,,Nine North Wine Company 2012 Twenty Bench Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Nine North Wine Company
63228,US,"A fine evocation of this esteemed vineyard, this shows the typical power and extracted fruit in the form of pure raspberry and cherry essence. It's all packed into a firm texture of acids, tannins and stony minerality. Upscale and elegant, it's fine now, and should develop bottle complexities over the next 6–8 years.",Rosella's Vineyard,93,50.0,California,Santa Lucia Highlands,Central Coast,,,Furthermore 2009 Rosella's Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Furthermore
46837,Italy,"This textbook Brunello boasts a careful balance of elements. Sweet cherry and vanilla aromas segue to austere notes of exotic spice, cola and waxed leather. This is a tempered but elegant wine that would match savory duck with wild rice.",,92,,Tuscany,Brunello di Montalcino,,,,Pinino 2006  Brunello di Montalcino,Sangiovese Grosso,Pinino
86818,Italy,"Crognolo is a warm and sunny super Tuscan with bursting notes of cherry, earth, spice, herbs and leather. The aromas are pristine and clean and the wine seems to emphasize elegance and harmony over intensity and penetration, closing with bright freshness and cherry cola flavors.",Crognolo,91,34.0,Tuscany,Toscana,,,,Tenuta Sette Ponti 2005 Crognolo Red (Toscana),Red Blend,Tenuta Sette Ponti
23437,Argentina,"Candied plum and red berry aromas smell like red licorice. Flavors are raisiny, with sourness and astringency.",Estate Bottled,80,5.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Terrenal 2013 Estate Bottled Malbec (Mendoza),Malbec,Terrenal
53709,US,"Flashes of buttery new oak show up in the lively aromas and richer flavors of this medium-bodied, barrel-fermented and elegant wine. It has a fine array of nutmeg, vanilla and lemon accents lifted by good acidity.",Premiere Reserve,89,27.0,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Navarro 2015 Premiere Reserve Chardonnay (Anderson Valley),Chardonnay,Navarro
69588,US,"Planky and a bit tart, this Zin hails from 45-year-old vines and is soft and suggestively herbal.",Old Vine,83,17.0,California,Lodi,Central Valley,Virginie Boone,@vboone,Rock Lobster 2011 Old Vine Zinfandel (Lodi),Zinfandel,Rock Lobster
37637,France,"Big and powerful tannins give this wine a dry, dense and extracted feel. Black fruits power through the structure, offering a rich experience. No shy violet, this is a wine with considerable concentration and aging potential.",Château Ballan-Larquette,88,15.0,Bordeaux,Bordeaux,,Roger Voss,@vossroger,Vignobles Chaigne et Fils 2010 Château Ballan-Larquette  (Bordeaux),Bordeaux-style Red Blend,Vignobles Chaigne et Fils
10143,Spain,"Raspy cheesy fiery aromas of plum and raspberry are a bit harsh. This feels tannic and grabby, while inky berry fruit and resiny oak flavors finish hard and blocky with a mild note of schisty minerality.",Xibrana Crianza,87,19.0,Catalonia,Priorat,,Michael Schachner,@wineschach,Vicente Gandia 2012 Xibrana Crianza Red (Priorat),Red Blend,Vicente Gandia
110033,US,"A slight majority of Cabernet Sauvignon is blended with 47% Cabernet Franc to offer an explosion of chocolate, blackberry jam and bitter black tea against more classical undertones of brushy sage and cedar. A powerhouse of a wine, it finishes in grippy tannin and oak. Cellar through 2023.",,93,150.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Viader 2013 Red (Napa Valley),Red Blend,Viader
88011,France,"This négociant operation has greatly expanded its offerings in recent years, and this blend of 60% Grenache, 30% Syrah and 10% Mourvèdre is reasonably successful. Cherry and dried herb notes are framed by dry cedar accents before picking up olive and coffee nuances on the finish. Drink now and over the next two years.",Les Cranilles,86,15.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,Les Vins de Vienne 2009 Les Cranilles Red (Côtes du Rhône),Rhône-style Red Blend,Les Vins de Vienne
49390,Spain,"This smells flat and stewy, with jammy sweetness and little punch. Conversely, it's pointy on the palate, with tart, generic red-berry flavors and warmth on the finish. A blend of Tempranillo and Cabernet Sauvignon.",Hoya de Cadenas Reserva Privada,82,10.0,Levante,Utiel-Requena,,Michael Schachner,@wineschach,Vicente Gandia 2007 Hoya de Cadenas Reserva Privada Tempranillo-Cabernet Sauvignon (Utiel-Requena),Tempranillo-Cabernet Sauvignon,Vicente Gandia
13816,Italy,This luminous wine exhibits mature notes of apricot and nectarine and has long staying power on both the nose and mouth. Pair it with fried zucchini flowers or pumpkin-filled ravioli.,Zuc di Volpe,85,38.0,Northeastern Italy,Colli Orientali del Friuli,,,,Volpe Pasini 2007 Zuc di Volpe Ribolla Gialla (Colli Orientali del Friuli),Ribolla Gialla,Volpe Pasini
65818,France,"The 18-month wood aging has made this both a rich wine and a structured one. Black fruits are beginning to emerge from the dense texture. It is serious, complex and worth aging. Drink from 2018.",,92,30.0,Southwest France,Cahors,,Roger Voss,@vossroger,Mas des Etoiles 2012 Malbec (Cahors),Malbec,Mas des Etoiles
5343,US,"A rustic, earthy and soft Zinfandel that's priced attractively. It has the right amount of blackberry fruit and fistfuls of bacon and toasty oak.",,87,15.0,California,Lodi,Central Valley,Virginie Boone,@vboone,Chessman 2010 Zinfandel (Lodi),Zinfandel,Chessman
112654,Austria,"A particularly fresh wine, which has light sweetness on top of spice, to give it a summer fruit flavor. It is soft, accessible, ready for warm days. Screwcap.",Rosé,84,13.0,Burgenland,,,Roger Voss,@vossroger,Gunter Triebaumer 2008 Rosé Blaufränkisch (Burgenland),Blaufränkisch,Gunter Triebaumer
89528,Spain,"The inviting nose of this mature red blends berry, vanillin oak, sweet cream, wood and tobacco. But the wine never fully delivers on the front-end promise, as oak sits heavily on the berry-plum fruit, giving it a smooth but rather leaden feel. More woody tannins show on the modest finish. Probably would have shown more positively three years ago. —M.M.",Señorio del Aguila Reserva,84,12.0,Northern Spain,Cariñena,,,,Bodegas Virgen del Águila 1994 Señorio del Aguila Reserva Red (Cariñena),Tempranillo Blend,Bodegas Virgen del Águila
77868,US,"A blend of roughly equal parts Mourvèdre and Syrah, this does not offer much in the way of fruit; there's an emptiness to the midpalate. It's a difficult wine to get a handle on, even after breathing time. Perhaps more bottle age will open it up.",Virga Red,85,28.0,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Convergence Zone 2010 Virga Red Red (Red Mountain),Rhône-style Red Blend,Convergence Zone
102850,Italy,"Seems confected, with sweet Jolly Rancher aromas playing against taut acidity. A light, tart offering best paired with tomato-based sauces—fine with spaghetti at your local Italian joint.",,84,9.0,Veneto,Valpolicella,,Joe Czerwinski,@JoeCz,Bolla 1999  Valpolicella,Red Blend,Bolla
56416,US,"This well-made wine is powered by lush red and black fruits and berries. The acids keep it lively and fresh, tannins are polished and the outstanding fruit is a real joy. It's unfiltered and aged in French oak, 50% new.",Zauberberg,91,35.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,High Pass 2015 Zauberberg Pinot Noir (Willamette Valley),Pinot Noir,High Pass
60279,Italy,"Exotic spice, red fruit, herbal notes and cherry cola characterize this 50-50 blend of Alicante and Syrah. The wine delivers measured intensity but does boast deep freshness thanks to its acidity and menthol finish.",Finisterre,90,60.0,Tuscany,Maremma,,,,Poggio Argentiera 2005 Finisterre  (Maremma),Red Blend,Poggio Argentiera
44938,Greece,"This single-vineyard Agiorgitiko has an earthy olive nose and smooth, integrated flavors of red berry, herbs and spice. Soft but structured tannins and a spin of spice on the finish recommend it for heartier dishes, but it's good enough to savor on its own. Elegant, but with some muscle.",Old Vines Single Vineyard,88,26.0,Nemea,,,Susan Kostrzewa,@suskostrzewa,Papaioannou 2003 Old Vines Single Vineyard Agiorgitiko (Nemea),Agiorgitiko,Papaioannou
49232,Italy,"The bestselling Pinot Grigio on the market is full of forward fruit and balancing acidity. It succeeds in epitomizing why Pinot Grigio is so popular, with its slight spice and crisp, soft, clean and fresh flavors, with just a touch of citrus and lychees.",,87,22.0,Veneto,Valdadige,,Roger Voss,@vossroger,Santa Margherita 2002 Pinot Grigio (Valdadige),Pinot Grigio,Santa Margherita
94705,US,"A fine, everyday Merlot, soft and approachable, with ripe berry, cherry, cola and oak flavors. The tannins are pretty. Drink up.",,85,22.0,California,Santa Cruz Mountains,Central Coast,,,Rexford 2009 Merlot (Santa Cruz Mountains),Merlot,Rexford
27469,US,"Sharp acidity leads to defined flavors of green apple and lemon, maybe even as tart as grapefruit, within this medium-bodied wine with a richness of texture.",Destination Series,86,25.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Kunde 2014 Destination Series Viognier (Sonoma Valley),Viognier,Kunde
6514,US,"A blend of 70% Cabernet Franc and 30% Merlot, this feels a little light on flesh, providing little cushion to the high acids. A campfire smokiness underscores the rusty dark-fruit note, which ultimately finishes a bit short.",,83,,Michigan,Old Mission Peninsula,,,,2 Lads 2009 Cabernet Franc-Merlot (Old Mission Peninsula),Cabernet Franc-Merlot,2 Lads
106540,US,"A dry, gritty red wine, lusty and tannic. The blackberry, cassis liqueur and smoky oak flavors suggest pairing with charred steak.",,88,38.0,California,Alexander Valley,Sonoma,,,Wattle Creek 2009 Malbec (Alexander Valley),Malbec,Wattle Creek
35522,Australia,"This lacks the underripe edge of Hunter Valley Semillon or the ripeness and breadth of Barossa Valley versions, so I guess you could say it expresses its Eden Valley terroir. That said, it's a bit neutral, with modest fig and citrus flavors that finish long and crisp.",Louis,87,42.0,South Australia,Eden Valley,,Joe Czerwinski,@JoeCz,Henschke 2015 Louis Semillon (Eden Valley),Sémillon,Henschke
52602,Spain,"This semisweet Viura-Malvasia blend is neutral on the nose, then sweet as expected on the palate, with upfront residual sugar driving a flavor profile that includes mango, banana and apple juice. Sugary and bit cloying from start to finish, but good acidity keeps it in balance.",Satinela Semi Dulce,85,11.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Marqués de Cáceres 2015 Satinela Semi Dulce White (Rioja),White Blend,Marqués de Cáceres
117034,Germany,"Von Schubert bottled two eisweins from the Herrenberg in 2009. This one is pale in color, with intense pineapple and honey flavors. The wine is sweet, luscious and viscous yet never cloying, with a long finish that features unfolding layers of fruit flavor.",Herrenberg Eiswein,96,228.0,Mosel,,,Joe Czerwinski,@JoeCz,Maximin Grünhäuser 2009 Herrenberg Eiswein Riesling (Mosel),Riesling,Maximin Grünhäuser
17437,US,"With residual sugar of 15.2%, this is a very sweet wine, but crisp acidity gives it complete balance. The flavors are direct and appealing and, as the variety suggests, powerful in tangerines and honeyed oranges.",Late Harvest,87,15.0,California,California,California Other,,,Fiore d'Arancio NV Late Harvest Orange Muscat (California),Orange Muscat,Fiore d'Arancio
100550,France,"Concentrated, dense and powerful, this has all the structure of a Chambertin. As a contrast, the juicy acidity cuts through the texture, luring out black fruits that balance the solid core of tannins. It needs to age for at least seven years.",,92,260.0,Burgundy,Chambertin,,Roger Voss,@vossroger,Louis Latour 2010  Chambertin,Pinot Noir,Louis Latour
114514,France,"Produced from Cabernet Sauvignon, this aromatic, crisp rosé has refreshing red-currant acidity and a light, lively character. Screwcap.",,85,13.0,Bordeaux,Bordeaux Rosé,,Roger Voss,@vossroger,Château Suau 2011 Rosé (Bordeaux Rosé),Rosé,Château Suau
43423,France,"Fruity and bold, this opens with direct aromas of cherry, strawberry and pomegranate that are accented by hints of sweet pea, violet and lavender. The medium-weight palate offers ample lifting acidity and a finish of tart red berries and watermelon rind.",,89,15.0,Languedoc-Roussillon,Minervois,,Lauren Buzzeo,@laurbuzz,Château du Donjon 2015 Rosé (Minervois),Rosé,Château du Donjon
103797,Italy,"More savory and spicy than fruity, this Sangiovese-Merlot-Sagrantino blend shows cured meat, tobacco, leather and black currant aromas. The finish is polished and firm.",Rojano,88,25.0,Central Italy,Umbria,,,,Cantina Tudernum 2006 Rojano Red (Umbria),Red Blend,Cantina Tudernum
39274,France,"Undoubtedly one of the top wines from the Costières de Nîmes, this is 90% Mourvèdre, from the oldest vines on the estate, matured in oak for 18 months. It's dark and plummy, full bodied and richly textured, with hints of chocolate fudge and closet cedar. Drink now–2020.",La Bolida,91,40.0,Rhône Valley,Costières de Nîmes,,Joe Czerwinski,@JoeCz,Château d'Or et de Gueules 2010 La Bolida Red (Costières de Nîmes),Rhône-style Red Blend,Château d'Or et de Gueules
72014,Italy,"This 100% Sangiovese wine offers black cherry and baking spice scents that carry over to the palate. It's fresh, accented by an earthy hint of new leather, and framed by supple tannins. Drink through 2020.",I Sodi del Paretaio Riserva,88,22.0,Tuscany,Chianti,,Kerin O’Keefe,@kerinokeefe,Badia di Morrona 2013 I Sodi del Paretaio Riserva  (Chianti),Sangiovese,Badia di Morrona
51222,France,"While this wine has hints of a green herbal character, its main character conveys creamed apples and even riper fruits such as white peach. It is soft and lightly textured with just a touch of final acidity. Drink now.",,84,14.0,Loire Valley,Val de Loire,,Roger Voss,@vossroger,Nicolas Idiart 2014 Sauvignon Blanc (Val de Loire),Sauvignon Blanc,Nicolas Idiart
89158,US,"The F5 bottling is proving to be a good one for Cuvaison. While the '06 doesn't have the structural complexity of the '05, it's a very fine Pinot Noir. With a silky texture and a furry edge of fine tannins, its cherry, black raspberry, red currant, mocha and spice flavors are complex and pleasing. Best now through 2012.",Block F5,89,45.0,California,Carneros,Napa-Sonoma,,,Cuvaison 2006 Block F5 Pinot Noir (Carneros),Pinot Noir,Cuvaison
58942,US,"This blend of half Merlot, half Cabernet Sauvignon is rustically earthy and soft, betraying the plush, plummy Merlot. Tight on the finish and medium in weight, it has a black peppery finish that appeals and suggests pairing with well-seasoned meats.",Mernet Reserve 35th Anniversary,88,96.0,California,Spring Mountain District,Napa,Virginie Boone,@vboone,Keenan 2011 Mernet Reserve 35th Anniversary Merlot-Cabernet Sauvignon (Spring Mountain District),Merlot-Cabernet Sauvignon,Keenan
4332,Australia,"Vanilla and fresh lumber notes lead the way, but gardenia and stone fruits emerge in the mouth and lead to a long, creamy finish remniscent of a peach milkshake. A final kick of acidity keeps the whole thing balanced.",Single Vineyard,88,24.0,South Australia,McLaren Vale,,,,Yangarra Estate Vineyard 2007 Single Vineyard Viognier (McLaren Vale),Viognier,Yangarra Estate Vineyard
115727,France,"Fully rounded, and crisply dry, this has a great foamy, creamy texture, filled out with red apple skins, pink grapefruit and an open aftertaste. Is the aftertaste just a touch sweet? Perhaps, but that seems to be part of the balance, and not out of place.",La Demoiselle de Champagne Tête de Cuvée,89,37.0,Champagne,Champagne,,Roger Voss,@vossroger,Vranken NV La Demoiselle de Champagne Tête de Cuvée  (Champagne),Champagne Blend,Vranken
118886,US,"A real success in a challenging vintage, this is a meaty, flavorful, well-built Pinot Noir. The fruit is a mix of berries, especially strawberry, with accents of peach, cola, earth, sassafras and cinnamon. The wine keeps on going; it doesn't wimp out or turn bitter. It's interesting now, but should develop even more flavor with some years of cellaring.",SV Estate,90,40.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Stoller 2007 SV Estate Pinot Noir (Dundee Hills),Pinot Noir,Stoller
71068,US,"Bella has a spotty record with this wine. The '05, from a cooler vintage, shows a Northern Rhône dryness and peppery taste, with good blackberry and currant flavors. But the tannins are very hard, almost old-fashioned in the way they shut the palate down.",Lily Hill Estate,86,38.0,California,Dry Creek Valley,Sonoma,,,Bella 2005 Lily Hill Estate Syrah (Dry Creek Valley),Syrah,Bella
116078,US,"Crisp in green apple and lemon, this light Chardonnay, only 12.4% in alcohol, will sweep you off your feet with Thai food, seafood or as a before-dinner quaff. From an un-grafted, old Wente clone vineyard found abandoned (thus the name), it has a trace of salinity throughout and a lurking layer of Asian spice.",Untended,90,35.0,California,Anderson Valley,,Virginie Boone,@vboone,Donkey & Goat 2012 Untended Chardonnay (Anderson Valley),Chardonnay,Donkey & Goat
117560,US,"The oak (40% new Hungarian and American) brings a sense of spiciness to the aromas, which also display notes of dill and plum. Flavors show weight and intensity, with citric acidity drawing out the finish.",,88,38.0,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Cave B 2012 Malbec (Columbia Valley (WA)),Malbec,Cave B
116862,Italy,"Monte Gradela is an extremely ripe and fruity Amarone with dark concentration and jammy aromas of blackberry, strawberry and raspberry marmalade. The full force of the fruit plus the power of its alcohol help offset some of those overripe elements.",Monte Gradela,89,,Veneto,Amarone della Valpolicella Classico,,,,Bonazzi Dario e Fabio 2004 Monte Gradela  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Bonazzi Dario e Fabio
85320,US,"Always a standout, this is the only one of the Cayuse Syrahs that is cofermented with Viognier. This explodes with flavors of blueberries, soy, earth, black tea, iodine, anise and salt, plus a hint of sassafras. Notes of herb and cured meat add further interest to this unique, captivating effort.",Cailloux Vineyard,95,75.0,Oregon,Walla Walla Valley (OR),Oregon Other,Paul Gregutt,@paulgwine ,Cayuse 2009 Cailloux Vineyard Syrah (Walla Walla Valley (OR)),Syrah,Cayuse
25506,US,"Strong spicy, meaty aromas and equally assertive oak and char flavors threaten to overwhelm the fruity aspects of this dry wine, but it has enough concentrated blackberry and blueberry stuffing to match the firm tannins. Best after 2020.",Eruption,88,24.0,California,High Valley,,Jim Gordon,@gordone_cellars,Brassfield 2014 Eruption Red (High Valley),Red Blend,Brassfield
128096,France,"The medium-intense nose opens with scents of ripe stone fruit, caramel apple and candied walnut. Medium in weight, there's good lift to the rich, spicy fruit core, with lasting notes of baking spice and peppery warmth on the close.",Ambré,89,18.0,Languedoc-Roussillon,Rivesaltes,,Lauren Buzzeo,@laurbuzz,Diví Elegància NV Ambré White (Rivesaltes),White Blend,Diví Elegància
84178,Australia,"A nicely balanced Chardonnay, marrying subtle buttered apple notes with bolder notes of toasted hazelnut and white peaches. It's got a silky texture and plenty of intensity on the fresh, citrusy finish. Drink now–2012.",,88,25.0,Western Australia,Margaret River,,Joe Czerwinski,@JoeCz,Cape Mentelle 2006 Chardonnay (Margaret River),Chardonnay,Cape Mentelle
1762,US,"This juicy red wine offers thick layers of black pepper and blueberry around sturdy oak. However, its opulent beginnings start to thin on the midpalate, veering into sour flavors and a touch of heat.",,84,37.0,California,Napa Valley,Napa,Virginie Boone,@vboone,V. Sattui 2012 Malbec (Napa Valley),Malbec,V. Sattui
1799,France,"Smooth and rich while remaining structured, this wine performs the role of second wine very well. The tannins are already rounded and the black currant fruit remains fresh. It should be ready to drink in 2016.",Les Pagodes de Cos,91,,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Château Cos d'Estournel 2011 Les Pagodes de Cos  (Saint-Estèphe),Bordeaux-style Red Blend,Château Cos d'Estournel
104906,South Africa,"Vibrant and lively with forward notes of fresh red berries and pink florals along with a touch of watermelon rind and soft sandalwood. Juicy and clean in the mouth with a crisp, mouthwatering finish. Drink now.",Cabernet Sauvignon,87,12.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Mulderbosch 2011 Cabernet Sauvignon Rosé (Coastal Region),Rosé,Mulderbosch
104239,Australia,"Classic hints of mint mark the black-cherry and cassis aromas of this wine. On the palate, the fruit is reasonably restrained but pure, barely touched by dried spices and cedar, then glides to a silky finish. Drink now–2020.",Bremerview,90,20.0,South Australia,Langhorne Creek,,Joe Czerwinski,@JoeCz,Bleasdale 2013 Bremerview Shiraz (Langhorne Creek),Shiraz,Bleasdale
123853,Croatia,"This Croatian white is made from 100% Debit and has aromas of dried apricot, toasted brioche, peach and just a touch of cinnamon in the bouquet. The palate is generous, with delightful flavors of white and yellow peaches and fresh apricot nectar. It's aged for 24 months in French oak; 150 cases produced.",Lucica,89,35.0,North Dalmatia,,,Jeff Jenssen,@worldwineguys,Bibich 2010 Lucica Debit (North Dalmatia),Debit,Bibich
80156,Spain,"Ripe raisiny aromas are soft, maybe to a fault. This feels wide, grabby and modest in structure. Jammy raspberry and raisin flavors finish plump and easy, with low acidity. Drink now.",,88,20.0,Central Spain,Vino de la Tierra de Castilla,,Michael Schachner,@wineschach,Ardales 2011 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Ardales
1906,Spain,"Overall this Callet-led blend might exceed its more oaked, richer brother known as Son Negre. Àn has a rooty, oak-driven nose with hints of herbs and tobacco, while the palate is dark and tasty, with blackberry, cherry and cured meat flavors. Finishes with pepper and a lash of leftover oak that hopefully will disappear as the wine ages. Drink now through 2012.",Àn,89,53.0,Spanish Islands,Vi de la Terra Illes Balears,,Michael Schachner,@wineschach,Ànima Negra 2004 Àn Red (Vi de la Terra Illes Balears),Red Blend,Ànima Negra
68731,France,"Made using fruit sourced from the high-elevation Haute-Serre estate, this wine is surprisingly elegant despite the high alcohol. It has a fresh blackberry flavor, with acidity that's balanced by the stewed-fruit richness. The tarry texture and firm tannins all promise long-term aging.",Cuvée Icône du Château de Haute-Serre,93,140.0,Southwest France,Cahors,,Roger Voss,@vossroger,Georges Vigouroux 2009 Cuvée Icône du Château de Haute-Serre Malbec (Cahors),Malbec,Georges Vigouroux
22146,US,"The second of the producer's estate Syrahs, this one planted in Altamont soils, this full-bodied beauty shows juicy acidity in support of blackberry, blueberry and black licorice. Compost and tea provide an earthy underside, as the finish grips in leather.",Altamont,91,48.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Dehlinger 2013 Altamont Syrah (Russian River Valley),Syrah,Dehlinger
42589,US,"Hats off to Beaulieu for producing a Pinot Noir this good. The wine is dry, silky and crisp in acidity, with cherry, cola, spice and sandalwood flavors. With more than 100,000 cases released, this should be relatively easy to find.",Coastal Estates,86,11.0,California,California,California Other,,,Beaulieu Vineyard 2010 Coastal Estates Pinot Noir (California),Pinot Noir,Beaulieu Vineyard
36431,Romania,"This wine offers an uncharacteristic bouquet of grapefruit pith and white flowers. It is full in the mouth, with flavors of green apple and crème brulee. The finish is dominated by a streak of minerality.",Sole,88,17.0,Recas,,,Jeff Jenssen,@worldwineguys,Cramele Recas 2014 Sole Chardonnay (Recas),Chardonnay,Cramele Recas
69990,US,"Lots of Russian River character in this supple Pinot. It's drily elegant and silky, with refreshing acidity providing a boost to the cola, cherry, pomegranate and persimmon fruit flavors. Drink it over the next few months.",,87,28.0,California,Russian River Valley,Sonoma,Christina Pickard,@winewchristina,MacMurray Ranch 2011 Pinot Noir (Russian River Valley),Pinot Noir,MacMurray Ranch
59952,Italy,"Intense sensations of blue flower, juicy marasca cherry, blackberry and blueberry form the focus of this luminous blend of 85% Sangiovese, 10% Ciliegiolo and 5% Alicante. White pepper and cinnamon spice give the juicy, delicious palate depth while supple tannins and freshness make it extremely accessible. It's at its peace so enjoy soon. Vos Selections, Tosco Wine,",Capatosta,90,32.0,Tuscany,Morellino di Scansano,,Kerin O’Keefe,@kerinokeefe,Poggio Argentiera 2009 Capatosta  (Morellino di Scansano),Red Blend,Poggio Argentiera
56952,Spain,"If it weren't for a fresh, reasonable mouthfeel, this would be a disaster. Aromatically, it's all pyrazines and funk. Flavorwise, it's herbaceous and rough, like celery and nettles. Bitter on the finish.",Rosa de Arrocal,80,14.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Arrocal 2015 Rosa de Arrocal Rosé (Ribera del Duero),Rosé,Arrocal
61918,US,"An all-purpose red wine, blending seven different grapes into a fruit bowl of forward berry flavors. Nothing challenging here, but the fruit is tasty and it might be compared to a nice Beaujolais—chill it and drink it outdoors on a hot summer day.",House Wine,86,13.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Magnificent Wine Company 2007 House Wine Red (Columbia Valley (WA)),Red Blend,Magnificent Wine Company
125006,Italy,"This offers aromas of pressed rose, cherry marinated in spirits, aromatic herb and menthol. The bracing palate shows raw red cherry, clove, white pepper and a hint of mocha while assertive tannins and racy acidity provide the framework. It's still young and aggressively tannic so don't attempt before 2019.",Fossati,89,115.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Borgogno 2011 Fossati  (Barolo),Nebbiolo,Borgogno
29887,US,"The Paso pioneer's annual bottling of Cabernet Sauvignon, Merlot and Cabernet Franc does not disappoint, offering aromas of plump, dark blueberry, tart Bing cherry and bay leaf. The palate offers crushed herbs—from oregano and thyme to rosemary and dill—alongside more blueberry fruit and a solid yet smooth tannic structure.",Isosceles,94,72.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Justin 2012 Isosceles Red (Paso Robles),Bordeaux-style Red Blend,Justin
129400,Italy,"Delicate and floral, this Prosecco Frizzante delivers less bubbly fizz, offering low key effervescence instead. There are fruity aromas of Golden Delicious apple and pear that give the wine more body and build. Its close is crisp, clean.",Frizzante,85,14.0,Veneto,Marca Trevigiana,,,,Moletto NV Frizzante Prosecco (Marca Trevigiana),Prosecco,Moletto
2795,Argentina,"Apple and white fruit aromas set up a balanced, reasonably full palate, with banana, creamy oak, vanilla and apple flavors. It feels solid and round, with a clean finish.",Elsa,84,10.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Valentin Bianchi 2011 Elsa Chardonnay (Mendoza),Chardonnay,Valentin Bianchi
69292,US,"With a mix of melon and cucumber flavors, this is not-quite-ripe tasting. Clean and quaffable, it has a hint of alcoholic warmth on the palate.",Estate,85,14.0,Oregon,Rogue Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Agate Ridge 2010 Estate Pinot Gris (Rogue Valley),Pinot Gris,Agate Ridge
44901,France,"This is a stalky wine, full of black-currant fruits and with just enough weight to balance tannins and the dry structure. It has the potential to become an attractive, fruity wine, so drink from 2018.",,86,19.0,Bordeaux,Médoc,,Roger Voss,@vossroger,Château Grivière 2013  Médoc,Bordeaux-style Red Blend,Château Grivière
62617,Italy,"Bright and easygoing, this features aromas of red berry, wildflower and a touch of alpine herb. The silky, lightly tannic palate doles out crushed raspberry, a hint of baking spice and an herbaceous note.",,88,20.0,Northeastern Italy,Alto Adige,,Kerin O’Keefe,@kerinokeefe,Viticoltori Alto Adige 2012 Pinot Nero (Alto Adige),Pinot Nero,Viticoltori Alto Adige
119005,Italy,"The nose is initially inexpressive but eventually reveals a hint of exotic spice. The palate also doesn't give away much, but orange peel and licorice notes eventually emerge alongside fleeting tannins. It finishes abruptly.",,85,45.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Cantine del Borgo Reale 2010  Barolo,Nebbiolo,Cantine del Borgo Reale
14056,Argentina,"Cassis and cherry aromas are raw and scratchy, but they are also pure and racy. This blend of Merlot and Cab Franc is choppy and fresh in feel, with jumpy acids propping up red currant, plum and raspberry flavors that come with oak-based vanilla. An earthy tasting, rough feeling finish is the closing act.",Plus ++,87,27.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Trapezio 2009 Plus ++ Merlot-Cabernet Franc (Mendoza),Merlot-Cabernet Franc,Trapezio
107212,Spain,"Kiwi and lemon-lime aromas lead to a tight, stony palate. White-fruit flavors are more savory and briny than pure, while this evaporates and finishes with elegance. For a fresh style of cava, this brut nature rings true.",Eunoia Vintage Reserva Brut Nature,89,17.0,Catalonia,Cava,,Michael Schachner,@wineschach,Montserrat Canals Torres 2014 Eunoia Vintage Reserva Brut Nature Sparkling (Cava),Sparkling Blend,Montserrat Canals Torres
26955,US,"Delicate and pretty, this has a pale cherry flavor, with light but proportionate tannins. It fades a bit quickly, offering a final hint of milk chocolate.",Prince Hill 777,87,50.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Erath 2010 Prince Hill 777 Pinot Noir (Dundee Hills),Pinot Noir,Erath
